Municipio;tipo_geografia
Pesca;rural
Coper;rural
La Apartada;rural
Chiriguaná;rural
Samaná;rural
Tierralta;rural
Arboletes;rural
Córdoba;rural
Pueblo Nuevo;rural
La Palma;rural
Sahagún;rural
San Bernardo Del Viento;rural
Ayapel;rural
Coyaima;rural
Caicedonia;rural
Yumbo;rural
Cumaral;rural
Mapiripán;rural
Puerto López;rural
Puerto Concordia;rural
Quimbaya;rural
Santa Ana;rural
Anserma;rural
Guachetá;rural
Distracción;rural
San Andrés;rural
Santa Rosa De Viterbo;rural
Fredonia;rural
Chaparral;rural
Matanza;rural
Aracataca;rural
Roldanillo;rural
Frontino;rural
El Peñol;rural
Puerto Tejada;rural
La Virginia;rural
Chocontá;rural
Buriticá;rural
Santo Tomás;rural
Nuevo Colón;rural
Vigía Del Fuerte;rural
Chimichagua;rural
Ciénega;rural
Guatapé;rural
Subachoque;rural
Olaya;rural
Tabio;rural
Consacá;rural
Bahía Solano;rural
Guamal;rural
Cucaita;rural
Bolívar;rural
Valparaíso;rural
Tocancipá;rural
Istmina;rural
Firavitoba;rural
Oiba;rural
Colombia;rural
Zambrano;rural
Aquitania;rural
San Cristóbal;rural
Cubarral;rural
El Carmen De Atrato;rural
San Onofre;rural
Belalcázar;rural
Atrato;rural
San Juan De Arama;rural
El Cerrito;rural
Villavicencio;rural
Carmen De Apicalá;rural
El Molino;rural
Silvania;rural
Soatá;rural
Anapoima;rural
Santiago;rural
Agrado;rural
Tarqui;rural
Pupiales;rural
La Argentina;rural
San Sebastián De Buenavista;rural
San Vicente De Chucurí;rural
Otanche;rural
Jenesano;rural
Marulanda;rural
Sardinata;rural
Santa Isabel;rural
El Roble;rural
Bajo Baudó;rural
San Agustín;rural
Bochalema;rural
Cunday;rural
La Jagua Del Pilar;rural
Güepsa;rural
Yacopí;rural
Guateque;rural
Suan;rural
Murillo;rural
San Benito Abad;rural
Sucre;rural
San Luis De Sincé;rural
Los Córdobas;rural
Pensilvania;rural
San Estanislao;rural
Ráquira;rural
Timaná;rural
Gramalote;rural
Pinchote;rural
Cantagallo;rural
Contadero;rural
Ulloa;rural
Santa María;rural
Roncesvalles;rural
Pore;rural
Pisba;rural
Prado;rural
La Playa De Belén;rural
Pedraza;rural
San Mateo;rural
El Peñón;rural
Santa Catalina;rural
Villagómez;rural
Timbío;rural
Talaigua Nuevo;rural
Sandoná;rural
Hobo;rural
Paz De Ariporo;rural
Puracé;rural
Cumaribo;rural
Puerto Carreño;rural
Guacarí;rural
El Águila;rural
Arauca;rural
Funes;rural
La Macarena;rural
Luruaco;rural
Santa Helena Del Opón;rural
Vélez;rural
San Gil;rural
Santana;rural
Norcasia;rural
Génova;rural
Coello;rural
Guasca;rural
Silvia;rural
Sopó;rural
Valle De San José;rural
Ginebra;rural
La Mesa;rural
Nueva Granada;rural
Susa;rural
Murindó;rural
Trujillo;rural
Chámeza;rural
Pacho;rural
Socotá;rural
Saravena;rural
Capitanejo;rural
El Cairo;rural
Pácora;rural
Puerto Leguízamo;rural
Polonuevo;rural
El Retorno;rural
Sutamarchán;rural
Tibacuy;rural
Marsella;rural
Soacha;rural
Sotaquirá;rural
Villeta;rural
Sabana De Torres;rural
Tinjacá;rural
Labranzagrande;rural
San Luis De Palenque;rural
San José Del Fragua;rural
San Pedro De Cartago;rural
Condoto;rural
Útica;rural
Ciénaga;rural
Barbacoas;rural
Ramiriquí;rural
Cerinza;rural
Motavita;rural
